"trial","log10n","n","index","t","k","x1","x2","x3","abs_x2x3","abs_x2x3_quantile","radius_quantile","leverage","leverage_quantile","leverage_x_n_over_p","residual","std_residual","deriv_error","deriv_error_quantile","y","fitted"
17,4.8,63096,39421,394.21,0.5748653710388,-16.3730952291303,-0.351727731451742,10.7006424726126,3.7637127019682,0.800668822112337,0.999968302269557,0.000499870188898194,0.99074426271079,10.5132698129068,-8.18773119338316,-23.2909337574076,-9.29237570518483,0.999841511347788,29.3131579554401,37.5008891488232
17,4.8,63096,39422,394.22,1.21865393346638,-15.739682836969,1.40071301790625,9.61028525010305,13.4612516556118,0.955781666032712,0.999841511347788,0.00100385258373467,0.99771776340814,21.1130275411075,-11.9783795471783,-34.0738646598311,-13.409691965311,0.999984151134779,71.5554490336539,83.5338285808322
17,4.8,63096,39423,394.23,0.859277669721699,-14.7436432352348,2.88671484508354,8.14941931912662,23.5250497273334,0.987162419170787,0.999350196525929,0.00144211702729652,0.998874730569291,30.3306053181003,-10.3889528796312,-29.5525595080434,-11.2831079544665,0.999920755673894,99.3521708601217,109.741123739753
17,4.8,63096,56984,569.84,0.670842566914134,-13.2222971138017,-6.44539906728359,9.48127685056573,61.1106129692939,0.999809813617345,0.999572080639026,0.00187652147913199,0.999651324965133,39.4669997491041,8.39217621291053,23.8725008966283,9.51712643930938,0.999857360213009,-122.260036303663,-130.652212516573
17,4.8,63096,56985,569.85,0.531338169787157,-14.4026541174898,-5.07974696587181,10.1914839821817,51.7701598362186,0.999318498795486,0.999778115886902,0.00125775460586014,0.998494357803981,26.4530948704505,7.9195172388399,22.5279686208472,9.15450474441016,0.999809813617345,-92.4967114267825,-100.416228665622
17,4.8,63096,56989,569.89,0.609081957867239,-14.7437862748957,1.33847237091656,8.78379830159312,11.7568713383862,0.942452770381641,0.999413591986814,0.000850622083137649,0.996719284899201,17.890283652551,-8.93865839890816,-25.4270317053534,-10.015376772378,0.999889057943451,67.2980070368686,76.2366654357767
18,4.8,63096,19112,191.12,0.534325477843253,-6.97243236031244,-11.8154915928867,5.11273324734866,60.4094567007205,0.999778115886902,0.996624191707874,0.00217748646326477,0.999698871560796,45.7968952953847,-8.6460920568492,-21.1555728699406,-7.7478156674016,0.999762267021681,-161.751543271296,-153.105451214447
18,4.8,63096,19113,191.13,0.514088382832294,-8.66611127509513,-11.5070283404054,6.41529913354215,73.8210289418475,0.999936604539115,0.998399264612654,0.00319682453553815,0.999936604539115,67.2356136314383,-7.69861933098835,-18.8372621045178,-7.4066014095913,0.999683022695575,-192.2320740677,-184.533454736711
18,4.8,63096,19115,191.15,1.0586608931115,-12.8951574531842,-9.99012230268349,9.61456683332157,96.0506985522067,0.999984151134779,0.999857360213009,0.0052316437480434,1,110.031931308849,10.5416310398397,25.7936466747068,10.596141449658,0.999857360213009,-220.045394584431,-230.587025624271
18,4.8,63096,19116,191.16,3.40076910780163,-15.1950146405333,-8.57097421388417,11.2876231843244,96.7459272488856,1,0.999936604539115,0.00503373795374285,0.999984151134779,105.86957664312,21.8977430586237,53.580195065928,24.0553941573707,0.999952453404336,-200.144539706905,-222.042282765528
18,4.8,63096,19117,191.17,3.90266918600965,-17.2576961270329,-6.62310719675696,12.6838726363597,84.0066481406227,0.999952453404336,0.999952453404336,0.00346030977107761,0.999952453404336,72.7772351053043,24.1274281615216,59.0358697639564,28.5007731389416,1,-153.167195656398,-177.294623817919
18,4.8,63096,19118,191.18,1.14470290655647,-18.6996829438895,-4.21245650749151,13.4624062680342,56.7098008902754,0.999572080639026,0.999984151134779,0.00142674529791492,0.999001521491061,30.0073071057466,13.0889408851935,32.0264971580658,16.4671547914602,0.999920755673894,-84.7627152881062,-97.8516561732997
