"trial","sweep","log10n","n","snr","design","term","degree","is_truth","vif"
1,"n",5,1e+05,49,"full","x1^3",3,FALSE,9026.08125896806
1,"n",5,1e+05,49,"full","x1^2 x2",3,FALSE,6031.66044187296
1,"n",5,1e+05,49,"full","x1 x2^2",3,FALSE,5639.90699710122
1,"n",5,1e+05,49,"full","x2^3",3,FALSE,22088.2820875127
1,"n",5,1e+05,49,"full","x1^2 x3",3,TRUE,15915.9376191396
1,"n",5,1e+05,49,"full","x1 x2 x3",3,FALSE,10106.4848658456
1,"n",5,1e+05,49,"full","x2^2 x3",3,TRUE,15786.2441609486
1,"n",5,1e+05,49,"full","x1 x3^2",3,FALSE,16027.4681800323
1,"n",5,1e+05,49,"full","x2 x3^2",3,FALSE,14613.1986466384
1,"n",5,1e+05,49,"full","x3^3",3,TRUE,26199.3440469356
1,"n",5,1e+05,49,"full","x1^4",4,FALSE,8320.59867038637
1,"n",5,1e+05,49,"full","x1^3 x2",4,FALSE,1761.53372358549
1,"n",5,1e+05,49,"full","x1^2 x2^2",4,FALSE,1820.01980708759
1,"n",5,1e+05,49,"full","x1 x2^3",4,FALSE,1295.59066311918
1,"n",5,1e+05,49,"full","x2^4",4,FALSE,6077.44220127511
1,"n",5,1e+05,49,"full","x1^3 x3",4,TRUE,26643.9047659604
1,"n",5,1e+05,49,"full","x1^2 x2 x3",4,FALSE,10793.3436506774
1,"n",5,1e+05,49,"full","x1 x2^2 x3",4,FALSE,10346.8012755198
1,"n",5,1e+05,49,"full","x2^3 x3",4,FALSE,23330.5471738227
1,"n",5,1e+05,49,"full","x1^2 x3^2",4,FALSE,36142.3881336172
1,"n",5,1e+05,49,"full","x1 x2 x3^2",4,FALSE,22588.2107410595
1,"n",5,1e+05,49,"full","x2^2 x3^2",4,FALSE,70146.0157636527
1,"n",5,1e+05,49,"full","x1 x3^3",4,FALSE,90292.0374362715
1,"n",5,1e+05,49,"full","x2 x3^3",4,FALSE,159153.076877884
1,"n",5,1e+05,49,"full","x3^4",4,FALSE,175051.770137166
1,"n",5,1e+05,49,"full","x1^5",5,FALSE,9817.65612062226
1,"n",5,1e+05,49,"full","x1^4 x2",5,FALSE,4287.89314930541
1,"n",5,1e+05,49,"full","x1^3 x2^2",5,FALSE,2695.48099422747
1,"n",5,1e+05,49,"full","x1^2 x2^3",5,FALSE,3923.18187243548
