"system","eq","trial","snr","n","sg_order","sg_window","sigma","bp_lm","bp_p","bp_r2","white_lm","white_p","var_ratio","rho1","durbin_watson","sel_sigma","sel_bp_lm","sel_bp_p","sel_bp_r2","sel_white_lm","sel_white_p","sel_var_ratio","sel_rho1","sel_durbin_watson","selected","selected_intercept","screen_exact_truth","truth_in_selected","final","final_intercept","success","truth_in_final","n_spurious_final","truth_support_all_kept","var_e","var_d","var_g","var_h","var_dtrunc","var_dnoise","corr_e_d","corr_e_dtrunc","corr_e_g","r2_e_on_d","rho1_d","rho1_dtrunc","noise_sd_state"
"rossler",1,12,55,5000,4,13,0.178786575661135,5.72451959022926,0.0167296130407367,0.00114490391804585,21.0287987370256,2.71427829437866e-05,1.3563106614277,0.678173920663649,0.636750449072303,0.178786708427905,5.72274090469338,0.0167465682423516,0.00114454818093868,21.0392744049832,2.7000985233621e-05,1.35622535582152,0.678169550659477,0.636752728728757,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0319646396366346,0.0319509699875217,2.65845918340363e-05,4.95671361149745e-06,5.79137267601756e-08,0.0319594768180553,0.999498970101798,-0.0958297334002151,0.0249828099425892,0.998998191234555,0.678276665884129,0.801243165858382,0.00942640669260963
"rossler",1,12,58,5000,4,13,0.129543555261872,2.27853670121466,0.131175584746545,0.000455707340242932,2.39065088687925,0.302605457194574,1.7457241917941,0.685210172627298,0.628229914215333,0.129543533982917,2.27684761216262,0.131318546729635,0.000455369522432525,2.38744165079015,0.303091413154149,1.74574699671581,0.685209215186263,0.628230167484036,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0167815327098857,0.0167532080170243,1.44514035370549e-05,1.52167656591707e-07,5.79137267601756e-08,0.0167507931323646,0.999562701766759,0.0389603000670903,0.0435710844366317,0.999125594763263,0.684934178294001,0.801243165858382,0.00667338487992342
"rossler",1,12,61,5000,4,13,0.0888157275581803,1.76551927473633,0.183937577585628,0.000353103854947266,1.95390070503862,0.376457412436229,1.59839171619736,0.682711833545583,0.630843766752282,0.088815687723862,1.76537571139255,0.183955408112498,0.000353075142278511,1.95322924357338,0.376583821977702,1.59838628116217,0.682711051145202,0.630844024516856,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0078882334616889,0.00788839398798523,7.20117305742688e-06,8.08995266191773e-09,5.79137267601756e-08,0.00788712503461756,0.999543702993942,0.0315041117024656,0.0147572490480101,0.999087614194841,0.682758725938709,0.801243165858382,0.00472439469331463
"rossler",1,12,Inf,5000,4,13,0.000240669067296047,36.6019658207874,1.44885532170768e-09,0.00732039316415748,107.315824275731,4.97353121567897e-24,2687442.69615556,0.741410867986523,0.452421781368482,0.000240669663834548,36.5973800110653,1.45226779767523e-09,0.00731947600221307,107.329318769929,4.94008652828023e-24,2651392.97606531,0.741404432479858,0.452430030627333,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,5.79215999531492e-08,5.79137267601756e-08,5.50498081507195e-10,1.72756554437309e-09,5.79137267601756e-08,0,0.980436505344413,0.980436505344413,0.208795982580261,0.961255741011966,0.801243165858382,0.801243165858382,0
"rossler",1,13,20,5000,4,13,9.82198516928715,0.610826135761585,0.434476924903716,0.000122165227152317,0.634944115554121,0.727987022065788,1.44698067357937,0.687662987827444,0.621907390897292,9.82198625879131,0.611502652246666,0.434222595372461,0.000122300530449333,0.635318907868498,0.727850612877047,1.44698157078587,0.687662856083881,0.621907586133936,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,96.4713926656967,96.5263862561124,0.100521986285697,0.0031311086249956,2.36198697139141e-07,96.5259392146682,0.99947067557178,0.046391387755388,0.00764904618867946,0.99894163132791,0.687990322754163,0.583805772146097,0.511803196438919
"rossler",1,13,30,5000,4,13,3.07584073086129,0.125792467716692,0.722835076091027,2.51584935433384e-05,0.691710497573102,0.707614907810122,1.38245536113671,0.678678974373183,0.641096484368933,3.07584086994006,0.125472337272132,0.723173456785539,2.50944674544263e-05,0.692689923106941,0.707268464591462,1.38246730522791,0.678678583476658,0.641096666350563,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,9.46079620162532,9.45252819398557,0.00986809363132235,0.00160862653605091,2.36198697139141e-07,9.45257327337412,0.999425347748714,-0.0164809300810816,0.0313987288528257,0.998851025722638,0.678724438786252,0.583805772146097,0.161846381450156
"rossler",1,13,40,5000,4,13,0.972024544475899,0.153258274314333,0.695440879739417,3.06516548628666e-05,3.15164171219574,0.206837698991485,1.40038955710381,0.680636479393329,0.636943751092453,0.972024535475005,0.15333035984067,0.695372848610544,3.0666071968134e-05,3.15196595603098,0.206804168785152,1.40037285742258,0.680636487213974,0.636943743530448,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.944831715063579,0.942838763917603,0.00106985476415845,1.42333825068383e-05,2.36198697139141e-07,0.942838263136934,0.999432480242496,0.000350867454577414,0.0482205323676122,0.998865282563667,0.680014403912223,0.583805772146097,0.0511803196438919
"rossler",1,13,50,5000,4,13,0.306197050806355,3.51066989745162,0.0609747960699763,0.000702133979490324,4.14367803491298,0.125953937098203,1.6448542271279,0.676047878366181,0.638527939851992,0.306197042860205,3.51077241532216,0.0609710232328119,0.000702154483064433,4.14390871872204,0.125939410169013,1.64486694175751,0.676047924038076,0.638527946727685,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0937566339225095,0.0941506944958602,9.71215228932714e-05,1.25988034146329e-05,2.36198697139141e-07,0.0941694524038865,0.999428871226974,-0.0606923228639576,-0.0475408378264339,0.998858068642024,0.676637843598504,0.583805772146097,0.0161846381450156
"rossler",1,13,55,5000,4,13,0.171397299480879,3.0098330266616,0.0827608158862228,0.00060196660533232,5.22492237177407,0.0733537841145308,1.53851265388656,0.673922253772978,0.642929947066745,0.1713972545852,3.0100028999807,0.0827521430223908,0.000602000579996139,5.22518962969927,0.0733439825793561,1.53852232827033,0.67392192263773,0.642930107051994,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0293770342693381,0.029433765851087,3.15423259123361e-05,4.68786233820333e-06,2.36198697139141e-07,0.029416688792732,0.999392867374823,0.101740137410223,-0.0110389519518986,0.99878610335967,0.674466354162688,0.583805772146097,0.00910129086219437
"rossler",1,13,58,5000,4,13,0.124939577661452,1.24528605635678,0.264454728536279,0.000249057211271356,1.26458332419963,0.531372678004389,1.33126646504905,0.68067544532563,0.63591075149182,0.124939548974994,1.24451172910272,0.264603301991501,0.000248902345820545,1.26352969771674,0.531652685916764,1.33128337068794,0.680676921921439,0.635909679254463,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0156098980662221,0.0155969116115053,1.6141757547154e-05,6.67160137690503e-07,2.36198697139141e-07,0.0155868241405864,0.999468991537715,0.0854934537045541,0.0295771063878183,0.998938265045417,0.680561687398115,0.583805772146097,0.00644322049834438
"rossler",1,13,61,5000,4,13,0.0858751438029453,12.2807434451015,0.000457656021441103,0.0024561486890203,12.2937619220454,0.00214014657132018,1.54391384703193,0.673837362451378,0.651524527100769,0.0858751449764494,12.282554412491,0.00045721214081022,0.00245651088249819,12.2957585472462,0.00213801110214151,1.54393990468136,0.673837596653652,0.651524291430666,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.00737454032317654,0.00736863806843413,7.6414172236019e-06,2.56799653367238e-07,2.36198697139141e-07,0.00736477979144757,0.999462815925524,0.0469718748136422,0.0292583914233134,0.998925920417777,0.674035339388649,0.583805772146097,0.00456145078966037
"rossler",1,13,Inf,5000,4,13,0.000479930956669787,8.7030103403355,0.00317684976123603,0.0017406020680671,11.4102632563035,0.00332883918734297,301251.344396361,0.569028479762218,0.670330930724806,0.000479931542437778,8.70328527850895,0.00317637064333745,0.00174065705570179,11.4082756684166,0.0033321490119355,315463.201776195,0.569035752859283,0.670323755334598,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,2.30333723169977e-07,2.36198697139141e-07,1.52354423786857e-11,4.41595971878752e-09,2.36198697139141e-07,0,0.990516680447072,0.990516680447072,-0.276443160043902,0.981123294243886,0.583805772146097,0.583805772146097,0
"rossler",1,14,20,5000,4,13,9.65352202221979,3.61420897557886,0.0572879593046992,0.000722841795115772,33.4000464227357,5.58820168120796e-08,1.55949797319202,0.677116785247694,0.637395813593616,9.65352116006718,3.60496524544237,0.0576072728693636,0.000720993049088474,33.4400963557045,5.47741112068433e-08,1.55937594318466,0.67711658964934,0.637396279691879,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,93.1904874334824,93.024734276312,0.0903462525393265,0.015838637101756,2.38677003181249e-08,93.0248199451339,0.999417230203681,-0.0264505518922743,0.0472770961002566,0.998834800027998,0.676709506367998,0.972574356310285,0.511572698260321
"rossler",1,14,30,5000,4,13,3.14887253990425,7.65744746345867,0.00565384390612284,0.00153148949269173,17.1665846320157,0.000187207615060182,1.47587834307831,0.68563367726957,0.619704279001697,3.14887254426224,7.65990596326438,0.00564614475412568,0.00153198119265287,17.1623671510011,0.000187602803870213,1.47587234755353,0.685634253744963,0.619704249654598,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,9.91539827256302,9.90170416916391,0.00888597464049432,0.00138183373418566,2.38677003181249e-08,9.90166645559783,0.999476960604371,0.0355980598621132,0.0406003353437771,0.998954194778952,0.685634263224601,0.972574356310285,0.161773491526067
"rossler",1,14,40,5000,4,13,0.971473228559153,1.23416593555596,0.266598389952765,0.000246833187111192,1.77195066866878,0.412311835214521,1.13077444134275,0.678809497464817,0.640382619599075,0.971473228301894,1.23396415385626,0.266637487453596,0.000246792830771252,1.77199678018717,0.412302329161719,1.13076724108069,0.678809080017387,0.640382582038489,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.943760233807144,0.94332183181248,0.000887722607314995,9.4791484948304e-06,2.38677003181249e-08,0.943324505141078,0.999525641465867,-0.00854377173968534,0.023038448002162,0.999051507947752,0.678892871775308,0.972574356310285,0.0511572698260321
"rossler",1,14,50,5000,4,13,0.305721041612337,0.422397504252022,0.51574315414989,8.44795008504044e-05,0.688068543157192,0.708904632352363,1.31035981048698,0.673208735251243,0.64893059992879,0.305721023197373,0.422267698216847,0.515807670425673,8.44535396433693e-05,0.687974612294938,0.708937927145895,1.31035853555858,0.67320856968659,0.64893061578093,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0934653552845322,0.0934831557111639,9.34529404603801e-05,9.49970981165999e-07,2.38677003181249e-08,0.0934844725083282,0.999498404078389,-0.0129642653921402,0.0128010191297799,0.998997059755247,0.673662618431618,0.972574356310285,0.0161773491526067
