"trial","log10n","n","snr","variant","p_selected","truth_in_selected","n_spurious_selected","p_final","success","truth_in_final","n_spurious_final","selected"
8,4.4,25119,49,"1se/1se",20,FALSE,14,19,FALSE,FALSE,12,"x1;x3;x1^2;x1 x2;x2^2;x1^3;x1^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
9,4.4,25119,49,"min/min",36,FALSE,30,22,FALSE,FALSE,15,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x1^2 x3^3;x2^2 x3^3;x1 x3^4;x3^5"
9,4.4,25119,49,"min/1se",15,FALSE,11,16,FALSE,FALSE,11,"x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^2 x2^2 x3"
9,4.4,25119,49,"1se/1se",15,FALSE,11,16,FALSE,FALSE,11,"x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^2 x2^2 x3"
10,4.4,25119,49,"min/min",7,TRUE,0,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3"
10,4.4,25119,49,"min/1se",9,TRUE,2,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^2 x3^2;x2^2 x3^2"
10,4.4,25119,49,"1se/1se",15,TRUE,8,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x1^3;x1^2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x2^2 x3^2"
11,4.4,25119,49,"min/min",9,TRUE,2,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^3 x3"
11,4.4,25119,49,"min/1se",13,TRUE,6,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x1^3;x1^2 x3;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^3 x3;x1^2 x3^2;x1 x2 x3^2"
11,4.4,25119,49,"1se/1se",23,FALSE,17,19,FALSE,FALSE,12,"x2;x3;x1^2;x2^2;x1 x3;x2 x3;x1^3;x1^2 x3;x3^3;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x2^2 x3^2;x1 x3^3;x3^4;x1^5;x1^4 x2;x1^2 x2^3;x2^5;x1^3 x2 x3;x1^2 x2^2 x3;x2^4 x3"
