"trial","sweep","log10n","n","snr","design","p","kappa","vif_max","vif_median","n_vif_gt10"
12,"snr",3.69897000433602,5000,Inf,"trimmed",55,632.997814849813,14613.1763207834,397.266383158465,55
12,"snr",3.69897000433602,5000,Inf,"truth",7,8.84062881582937,6.81883397323256,2.83631656907498,0
12,"snr",3.69897000433602,5000,Inf,"selected",42,258.711829517577,2207.97508770879,129.960961173847,41
13,"snr",3.69897000433602,5000,1,"full",55,69.6578401959945,203.499472817033,22.2300072449941,49
13,"snr",3.69897000433602,5000,1,"trimmed",55,69.6578401959945,203.499472817033,22.2300072449941,49
13,"snr",3.69897000433602,5000,1,"truth",7,5.96149493308967,4.12961557221786,2.02016683813915,0
13,"snr",3.69897000433602,5000,5,"full",55,137.787692476075,624.640623133318,37.5927474650248,54
13,"snr",3.69897000433602,5000,5,"trimmed",34,45.439199659652,116.364210778904,11.7224484758314,25
13,"snr",3.69897000433602,5000,5,"truth",7,6.84116739608047,4.89851409933764,2.5398712758517,0
13,"snr",3.69897000433602,5000,5,"selected",4,2.18705162771827,1.35596479345177,1.20475072475333,0
13,"snr",3.69897000433602,5000,10,"full",55,216.347663033378,1839.49575274946,59.7356276976019,55
13,"snr",3.69897000433602,5000,10,"trimmed",55,216.347663033378,1839.49575274946,59.7356276976019,55
13,"snr",3.69897000433602,5000,10,"truth",7,7.69395478256545,5.90530973486007,2.53032859681184,0
13,"snr",3.69897000433602,5000,10,"selected",10,7.49321947583801,4.75803475864529,2.90646491612572,0
13,"snr",3.69897000433602,5000,15,"full",55,310.163185447139,3728.18345945897,90.6155982540341,55
13,"snr",3.69897000433602,5000,15,"trimmed",55,310.163185447139,3728.18345945897,90.6155982540341,55
13,"snr",3.69897000433602,5000,15,"truth",7,8.3453571819585,6.70675240506859,2.86567909410838,0
13,"snr",3.69897000433602,5000,15,"selected",11,6.42278829106966,3.86475349781591,2.32446339247654,0
13,"snr",3.69897000433602,5000,20,"full",55,388.049260071813,5583.47098721156,140.460197654301,55
13,"snr",3.69897000433602,5000,20,"trimmed",55,388.049260071813,5583.47098721156,140.460197654301,55
13,"snr",3.69897000433602,5000,20,"truth",7,8.610562635108,7.06435223929035,2.91685393250579,0
13,"snr",3.69897000433602,5000,20,"selected",7,6.77708682388375,4.15876642242235,2.26825700569695,0
13,"snr",3.69897000433602,5000,25,"full",55,421.650184719707,6659.35116823662,186.217454443462,55
13,"snr",3.69897000433602,5000,25,"trimmed",34,105.253807333405,579.969423370636,27.9033971369939,29
13,"snr",3.69897000433602,5000,25,"truth",7,8.66616993857798,7.1499279205942,2.92888582977287,0
13,"snr",3.69897000433602,5000,25,"selected",8,12.7951318927733,17.5736051063426,4.941358995936,2
13,"snr",3.69897000433602,5000,30,"full",55,450.861769717171,7581.78676856126,211.170456840343,55
13,"snr",3.69897000433602,5000,30,"trimmed",34,108.669538298652,617.359513814648,27.8326668930621,29
13,"snr",3.69897000433602,5000,30,"truth",7,8.69660877820666,7.1801570781392,2.93856886468008,0
13,"snr",3.69897000433602,5000,30,"selected",6,8.64849798268345,7.16967663322994,3.10260948337951,0
13,"snr",3.69897000433602,5000,35,"full",55,461.830131827234,7857.13740015732,216.022278518804,55
13,"snr",3.69897000433602,5000,35,"trimmed",34,109.526262037256,621.733226059704,28.3924850159761,29
13,"snr",3.69897000433602,5000,35,"truth",7,8.70309762297424,7.17368043371149,2.95009407653992,0
13,"snr",3.69897000433602,5000,35,"selected",14,20.0907850478828,31.466760967643,4.13947686945562,4
13,"snr",3.69897000433602,5000,40,"full",55,469.765888724909,8181.32571893276,217.249768752156,55
13,"snr",3.69897000433602,5000,40,"trimmed",55,469.765888724909,8181.32571893276,217.249768752156,55
13,"snr",3.69897000433602,5000,40,"truth",7,8.70365839372712,7.1767087833176,2.94235352057111,0
13,"snr",3.69897000433602,5000,40,"selected",28,79.4519671725297,358.573326760057,22.6604647800673,20
13,"snr",3.69897000433602,5000,45,"full",55,468.825723830698,8136.0495276337,216.863375782633,55
13,"snr",3.69897000433602,5000,45,"trimmed",34,110.41429813575,633.022664422459,28.3602761968121,29
13,"snr",3.69897000433602,5000,45,"truth",7,8.70463196053126,7.17894413886631,2.94299196575226,0
13,"snr",3.69897000433602,5000,45,"selected",12,19.7044719896931,31.26286687559,4.9312444907992,4
13,"snr",3.69897000433602,5000,50,"full",55,468.68964211144,8123.50452279703,217.823503935518,55
13,"snr",3.69897000433602,5000,50,"trimmed",34,110.401590768478,632.537192984784,28.3305618683928,29
13,"snr",3.69897000433602,5000,50,"truth",7,8.70447827636378,7.17731720431214,2.94665954800669,0
13,"snr",3.69897000433602,5000,50,"selected",8,12.4116846859039,17.4700560294705,5.04371678219003,2
13,"snr",3.69897000433602,5000,55,"full",55,469.030077329986,8139.32928016851,218.358139790194,55
13,"snr",3.69897000433602,5000,55,"trimmed",34,110.442183076063,633.275839635347,28.3612404918229,29
13,"snr",3.69897000433602,5000,55,"truth",7,8.7047770524189,7.17814224204507,2.9471731918523,0
13,"snr",3.69897000433602,5000,55,"selected",9,12.7239492057607,18.1610995867418,3.37510043328625,2
13,"snr",3.69897000433602,5000,60,"full",55,468.968885782682,8134.88172265977,218.173499755338,55
13,"snr",3.69897000433602,5000,60,"trimmed",34,110.424467860935,632.933298504631,28.3690848354592,29
13,"snr",3.69897000433602,5000,60,"truth",7,8.70412270398618,7.17745114319475,2.94597575803601,0
13,"snr",3.69897000433602,5000,60,"selected",9,12.7188972522162,18.1466340621107,3.37354282069175,2
13,"snr",3.69897000433602,5000,Inf,"full",55,469.047129608501,8137.9858070951,218.172704502629,55
13,"snr",3.69897000433602,5000,Inf,"trimmed",55,469.047129608501,8137.9858070951,218.172704502629,55
13,"snr",3.69897000433602,5000,Inf,"truth",7,8.70452756730018,7.17797921968894,2.94615424293852,0
13,"snr",3.69897000433602,5000,Inf,"selected",45,153.021921028632,654.827215242134,79.9397005120761,43
14,"snr",3.69897000433602,5000,1,"full",55,162.919025809561,1465.13644142409,24.2177657457761,49
14,"snr",3.69897000433602,5000,1,"trimmed",55,162.919025809561,1465.13644142409,24.2177657457761,49
14,"snr",3.69897000433602,5000,1,"truth",7,6.99143700160867,4.76257619821251,2.55835718357309,0
14,"snr",3.69897000433602,5000,1,"selected",6,4.69518450585338,5.51809718759318,1.90877593728899,0
14,"snr",3.69897000433602,5000,5,"full",55,237.24524067569,2908.00526255156,36.2162154037837,51
14,"snr",3.69897000433602,5000,5,"trimmed",55,237.24524067569,2908.00526255156,36.2162154037837,51
14,"snr",3.69897000433602,5000,5,"truth",7,7.80304133232368,5.77810469454052,2.62028683090963,0
14,"snr",3.69897000433602,5000,5,"selected",4,2.64733882031665,1.39653052877684,1.19884290041509,0
14,"snr",3.69897000433602,5000,10,"full",55,380.139737402816,6305.15287898376,62.7863998317101,55
14,"snr",3.69897000433602,5000,10,"trimmed",9,8.57791172495461,7.22880745209495,2.01703290739643,0
14,"snr",3.69897000433602,5000,10,"truth",7,8.52820290188344,6.61653732686772,2.99027484364488,0
14,"snr",3.69897000433602,5000,10,"selected",4,8.45471371453797,7.05175459540953,3.99016576225382,0
14,"snr",3.69897000433602,5000,15,"full",55,521.819117737238,11719.5965559692,151.950003783351,55
14,"snr",3.69897000433602,5000,15,"trimmed",55,521.819117737238,11719.5965559692,151.950003783351,55
14,"snr",3.69897000433602,5000,15,"truth",7,8.94704405641269,7.1781141487748,3.08364360536198,0
14,"snr",3.69897000433602,5000,15,"selected",11,14.5057645441476,18.8061779913912,5.82803928659724,2
14,"snr",3.69897000433602,5000,20,"full",55,626.544330045336,16386.0220357322,207.404772111686,55
14,"snr",3.69897000433602,5000,20,"trimmed",55,626.544330045336,16386.0220357322,207.404772111686,55
14,"snr",3.69897000433602,5000,20,"truth",7,9.17225140871196,7.43906608689043,3.12262849617976,0
14,"snr",3.69897000433602,5000,20,"selected",8,9.29297015657428,6.91729520761987,2.73471593731885,0
14,"snr",3.69897000433602,5000,25,"full",55,663.038452301107,18451.0488535898,284.019542444158,55
14,"snr",3.69897000433602,5000,25,"trimmed",55,663.038452301107,18451.0488535898,284.019542444158,55
14,"snr",3.69897000433602,5000,25,"truth",7,9.18721022952382,7.49614349189269,3.11583989912352,0
14,"snr",3.69897000433602,5000,25,"selected",7,8.99325020612384,6.37983403181346,2.20642748894254,0
14,"snr",3.69897000433602,5000,30,"full",55,677.99632530855,19258.6646722709,324.965336645553,55
14,"snr",3.69897000433602,5000,30,"trimmed",55,677.99632530855,19258.6646722709,324.965336645553,55
14,"snr",3.69897000433602,5000,30,"truth",7,9.20877626728755,7.53355523178477,3.08984411142913,0
14,"snr",3.69897000433602,5000,30,"selected",13,28.438526032763,47.324842752396,9.98984276545379,6
14,"snr",3.69897000433602,5000,35,"full",55,689.68673294341,19793.2377702288,362.034691626524,55
14,"snr",3.69897000433602,5000,35,"trimmed",55,689.68673294341,19793.2377702288,362.034691626524,55
14,"snr",3.69897000433602,5000,35,"truth",7,9.21740130486202,7.53742697166028,3.10323708740354,0
14,"snr",3.69897000433602,5000,35,"selected",14,29.0070277594331,46.7757580668868,11.0488514537505,9
14,"snr",3.69897000433602,5000,40,"full",55,692.415810149414,19921.4664722278,373.105604735663,55
14,"snr",3.69897000433602,5000,40,"trimmed",34,160.946122764397,1513.10015405307,60.2291743784483,30
14,"snr",3.69897000433602,5000,40,"truth",7,9.22941447223609,7.55423826099233,3.10657689803599,0
14,"snr",3.69897000433602,5000,40,"selected",9,13.7677179800846,16.901629722965,3.25550417356888,2
14,"snr",3.69897000433602,5000,45,"full",55,692.373279162341,19912.1914924689,375.605881898216,55
14,"snr",3.69897000433602,5000,45,"trimmed",34,161.179426669641,1517.0654647611,60.2846157898668,30
14,"snr",3.69897000433602,5000,45,"truth",7,9.22768795364775,7.55122486763516,3.1057545414994,0
14,"snr",3.69897000433602,5000,45,"selected",12,14.4536172620186,17.5728651197766,4.79669397158565,4
14,"snr",3.69897000433602,5000,50,"full",55,694.055464938422,20001.5724367001,375.749971394249,55
