"trial","sweep","log10n","n","snr","trimmed_p","trimmed_max_degree","selected","selected_intercept","screen_exact_truth","truth_in_selected","seconds"
0,"n",4.6,39811,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x3^4",TRUE,FALSE,TRUE,24.0588068962097
1,"n",4.6,39811,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1 x2^2;x2^3;x1 x2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^3 x2^2;x1^2 x2^3;x2^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x2 x3^2;x2^3 x3^2;x1 x3^4;x3^5",TRUE,FALSE,FALSE,24.8929212093353
2,"n",4.6,39811,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x3^4;x1 x2^3 x3",TRUE,FALSE,TRUE,22.8018419742584
3,"n",4.6,39811,49,55,5,"x1;x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x2^3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^4 x2;x1^3 x2^2;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x2^3 x3^2;x1^2 x3^3",TRUE,FALSE,TRUE,22.6998324394226
4,"n",4.6,39811,49,55,5,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4",TRUE,FALSE,TRUE,23.4914612770081
5,"n",4.6,39811,49,55,5,"x2;x3;x1^2;x2^2;x2 x3;x3^2;x1^3;x1 x2^2;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3",TRUE,FALSE,FALSE,23.2421424388885
6,"n",4.6,39811,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x3^4",TRUE,FALSE,TRUE,23.792581319809
7,"n",4.6,39811,49,55,5,"x1;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x2 x3^3;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x2^2 x3^3",TRUE,FALSE,FALSE,24.0932712554932
8,"n",4.6,39811,49,55,5,"x1;x3;x1^2;x1 x2;x2^2;x3^2;x1^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^2 x3;x2^4 x3",TRUE,FALSE,FALSE,23.3083531856537
9,"n",4.6,39811,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^2 x2^3;x2^5;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x1^2 x3^3;x2^2 x3^3;x1 x3^4;x3^5",TRUE,FALSE,FALSE,23.2792842388153
0,"n",4.4,25119,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,13.7089409828186
1,"n",4.4,25119,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x2^3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x2^4;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^3 x2^2;x1^2 x2^3;x2^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x2 x3^2;x2^3 x3^2;x1^2 x3^3;x1 x2 x3^3;x1 x3^4",TRUE,FALSE,FALSE,14.2086412906647
