"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,5.1703097803113e-07,0.200000061656473,0.199998844973956,0.20000118850366,0.200000044089136,7.16203728692303e-07,279250.213419457,1.97898435995652e-05,0.533103588455028,1.9789851379639e-05,4.50496066424618e-08,1.16505462704443e-06,1.00994808935329e-05,16.8679261207581
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,1.96832478249753e-06,0.200000261382142,0.199999120050725,0.200001416031747,0.200000258803476,7.22679728763847e-07,276748.12346761,1.34974131753527e-05,0.0111553488075161,1.34974158464031e-05,-2.39115727697996e-07,2.17276856191356e-05,0.000115334898876551,42.2567627429962
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.90549950430434e-07,0.199999952708714,0.199998825191456,0.200001108600679,0.199999974942344,7.09249838493569e-07,281988.044392283,1.32597173421289e-05,-0.316485064594852,1.32597239370537e-05,4.74803911077196e-08,7.38798163575725e-07,5.94701725448177e-06,45.5335416793823
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,6.54330283238469e-05,0.199978732915376,0.199940220116379,0.200019651733345,0.199979259988185,2.44599529016057e-05,8175.78270868447,0.00165169987469856,0.989432591685601,0.00165169988403234,-1.58246077023492e-06,0.00177549465001949,0.016875911241523,14.7940366268158
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.25679704773361e-05,0.200008463257944,0.200006928997898,0.20000997062249,0.200008439277862,9.20575521380643e-07,217264.563995681,2.52972118936975e-05,0.819775033382422,2.52972203663608e-05,-3.53781137785089e-06,0.000414071102295881,0.00237562931577601,18.9834222793579
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.95997484300869e-08,0.199999975620732,0.199999395740101,0.200000597983224,0.19999999451401,4.11073388967638e-08,4865311.15566215,1.12992191252578e-06,0.428455614636434,1.1300533065631e-06,6.88947184551669e-10,1.16528713917121e-06,1.13766165796281e-05,2.76024270057678
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.2516583420007e-06,0.200000477843089,0.200000078599125,0.200000892526553,0.200000484633062,2.51185732097457e-07,796225.498013017,4.66989291355473e-06,0.379155738879004,4.66989473679172e-06,1.72506649870297e-08,2.08824890822933e-05,0.000110847977229878,51.0861549377441
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.19129026035603e-09,0.199999991316973,0.199999735736752,0.200000235124831,0.199999991046116,4.10453698371001e-08,4872656.57100596,7.63832839773403e-07,-0.413421529352373,7.63840278343967e-07,5.09511890348521e-09,7.65534608925472e-07,6.56121752201644e-06,29.4400053024292
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.21377338082769e-05,0.200008350512351,0.200006025433576,0.200010699360826,0.200008314686941,1.41038132672261e-06,141811.516429895,3.8756967082651e-05,0.723664191581668,3.87570012797e-05,-3.53781137785089e-06,0.000414071102295881,0.00237562931577601,13.939245223999
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.30476598928545e-07,0.199999874372526,0.199998783419517,0.20000094801959,0.199999864788616,6.87129532262271e-07,291065.73855172,1.88872044246598e-05,0.523963921255042,1.88872121817956e-05,6.88947184551669e-10,1.16528713917121e-06,1.13766165796281e-05,18.6008269786835
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,1.94495524752369e-06,0.200000410015008,0.199999274714926,0.200001571494853,0.200000408887379,6.96787473439716e-07,287032.153290687,1.29542504295194e-05,-0.0177769491738518,1.29543195054299e-05,1.72506649870297e-08,2.08824890822933e-05,0.000110847977229878,40.896390914917
"rossler",3,6,Inf,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.70052392783119e-07,0.199999872795942,0.199998735448074,0.200001037117002,0.199999899558754,6.99367360408363e-07,285972.59592151,1.30148603310975e-05,-0.341376239728373,1.30148645302555e-05,5.09511890348521e-09,7.65534608925472e-07,6.56121752201644e-06,38.5953073501587
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.00254906824282e-05,0.199995982961882,0.199949238526728,0.200041618768212,0.199995844124267,2.71919610336425e-05,7354.96214770342,0.00183638211590337,0.76026062731786,0.00183638212303877,-1.49593619546963e-05,0.00185579516099558,0.0821737000757963,7.18130540847778
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.30175270333721e-05,0.200007874723885,0.200006422042359,0.200009232753504,0.200007866010622,8.57157551514749e-07,233338.510122407,2.35516566314108e-05,0.836075157327861,2.35517049708098e-05,-4.7081092070921e-06,0.000342918171397579,0.00247209006589061,17.2693290710449
