"sweep","value","trial","pass2","final"
"n",4.6,78,"(Intercept)|x1|x3|x1^2|x2^2|x3^2|x1^3|x1x2^2|x1x2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^4x2|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^2x3^3","(Intercept)|x1|x3|x1^2|x2^2|x3^2|x1x2^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x1^2x3^2|x1^4x3|x1^2x2^2x3|x2^4x3|x2^2x3^3"
"n",4.6,79,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^3|x1x2^2|x2^3|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x3^4|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x1^2x2x3^2","(Intercept)|x3|x1^2|x2^2|x1^3|x1x2^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1^4x3|x1^2x2^2x3|x1^2x2x3^2"
"n",4.6,80,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,81,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x1x2^3|x2^4|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x2x3^3|x3^4|x1^4x2|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x1x2^2x3^2","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x2x3^2|x3^3|x1x2^3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x2x3^3|x3^4|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x1x2^2x3^2"
"n",4.6,82,"(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1^2x2|x2^3|x1^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x2^2x3^2|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^2x2x3^2|x2^3x3^2","(Intercept)|x1|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1^2x2|x2^3|x1^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x2^3x3|x2^2x3^2|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^2x2x3^2|x2^3x3^2"
"n",4.6,83,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,84,"(Intercept)|x1|x2|x3|x1^2|x2^2|x2x3|x1^2x2|x2^3|x1x2x3|x2^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x1^4x2|x1^3x2^2|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1x2^2x3^2|x1x2x3^3","(Intercept)|x3|x1^2|x2^2|x2x3|x1^2x2|x2^2x3|x3^3|x1^2x2^2|x1x2^3|x1^3x3|x1x2^2x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x1^4x2|x1^2x2^3|x1^4x3|x1^2x2^2x3|x1^3x3^2|x1x2^2x3^2|x1x2x3^3"
"n",4.6,85,"(Intercept)|x3|x1^2|x2^2|x3^2|x1^3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x2|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2","(Intercept)|x3|x1^2|x2^2|x3^2|x1^3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x2^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2"
"n",4.6,86,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^2x3|x2^2x3|x2x3^2|x3^3|x1^2x2^2|x1^3x3|x1x2^2x3|x2^2x3^2|x3^4|x1^2x2^2x3|x2^4x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,87,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,88,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x1^2x3|x1x2x3|x1x3^2|x2x3^2|x3^3|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1x2x3^2|x2^2x3^2|x3^4|x2^5|x1^2x2^2x3|x2^4x3|x1x2^2x3^2|x2^2x3^3","(Intercept)|x2|x3|x1^2|x2^2|x1x3|x1^2x3|x2x3^2|x3^3|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^2x3^2|x3^4|x2^5|x1^2x2^2x3|x2^4x3|x2^2x3^3"
"n",4.6,89,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,90,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,91,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1x2^2|x2^3|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^3x2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x2^3|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,92,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^3x2|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^4|x2^5|x1^4x3|x1^3x2x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,93,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x2^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^5|x1^4x2|x1^3x2^2|x2^5|x1^2x2^2x3|x1x2^3x3|x2^4x3","(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x2|x1x2^2|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x1^2x3^2|x3^4|x1^5|x1^4x2|x1^2x2^2x3|x1x2^3x3|x2^4x3"
"n",4.6,94,"(Intercept)|x3|x1^2|x2^2|x2x3|x1^3|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1^4x3|x1^2x2^2x3|x2^4x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,95,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x1^2x2x3|x1^2x3^2|x2^2x3^2|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x1^2x2^2x3"
"n",4.6,96,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x1x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^4|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^4|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x1^2x3^3|x1x2x3^3|x2^2x3^3|x1x3^4","(Intercept)|x1|x2|x3|x1^2|x2^2|x2x3|x3^2|x1^3|x1x2^2|x1^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^2x2x3|x1x2^2x3|x2^3x3|x2^2x3^2|x1x3^3|x3^4|x1^4x2|x1^2x2^3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x1x3^4"
"n",4.6,97,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1x2x3^2|x2^2x3^2|x1x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,98,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,99,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^2x2|x1x2^2|x2^3|x1x2x3|x2^2x3|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^5|x1^3x2^2|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x1^2x3^3|x3^5","(Intercept)|x3|x1^2|x2^2|x1x3|x2x3|x1^2x2|x2^2x3|x2x3^2|x3^3|x1^4|x1^2x2^2|x1^3x3|x1^2x2x3|x2^3x3|x1^2x3^2|x1x3^3|x2x3^3|x1^5|x1^3x2^2|x1^4x3|x1^2x2^2x3|x1^3x3^2|x1^2x2x3^2|x1^2x3^3"
